id;filme;ano;nota;votos;diretor
229;Piratas do Caribe: A Maldição do Pérola Negra;2003;8.0;1138207;Gore Verbinski
230;A Batalha de Argel;1966;8.0;61490;Gillo Pontecorvo
231;Sempre ao Seu Lado;2009;8.0;290194;Lasse Hallström
232;Jai Bhim;2021;8.0;204268;T.J. Gnanavel
233;As Vinhas da Ira;1940;8.0;94911;John Ford
234;Meu Pai e Meu Filho;2005;8.0;87381;Çagan Irmak
235;Amores Brutos;2000;8.0;243264;Alejandro G. Iñárritu
236;Rebecca, a Mulher Inesquecível;1940;8.0;139039;Alfred Hitchcock
237;Rebeldia Indomável;1967;8.0;179405;Stuart Rosenberg
238;A Criada;2016;8.0;152541;Park Chan-wook
239;Os Incompreendidos;1959;8.0;120302;François Truffaut
240;A Noviça Rebelde;1965;8.0;240272;Robert Wise
241;Aconteceu Naquela Noite;1934;8.0;105775;Frank Capra
242;Quando Duas Mulheres Pecam;1966;8.0;121471;Ingmar Bergman
243;A Vida de Brian;1979;8.0;404351;Terry Jones
244;O Gigante de Ferro;1999;8.0;203816;Brad Bird
245;Dersu Uzala;1975;8.0;31020;Akira Kurosawa
246;Histórias Cruzadas;2011;8.0;464896;Tate Taylor
247;Aladdin;1992;8.0;427927;Ron Clements
248;Gandhi;1982;8.0;234316;Richard Attenborough
249;Dança com Lobos;1990;8.0;270925;Kevin Costner
